Gmt time,Open,High,Low,Close,Volume
25.10.2021 00:00:00.000,1.16393,1.16406,1.1639,1.16405,75.72
25.10.2021 00:01:00.000,1.16408,1.16411,1.16389,1.1639,123.79
25.10.2021 00:02:00.000,1.1639,1.16443,1.1639,1.16429,216.87
25.10.2021 00:03:00.000,1.1643,1.1643,1.16414,1.16414,49.73
25.10.2021 00:04:00.000,1.16418,1.16447,1.16418,1.16445,95.92
25.10.2021 00:05:00.000,1.16444,1.16454,1.1644,1.16451,99.15
25.10.2021 00:06:00.000,1.16448,1.16455,1.16446,1.16449,69.21
25.10.2021 00:07:00.000,1.1645,1.16461,1.16445,1.16455,87.86
25.10.2021 00:08:00.000,1.16455,1.16459,1.16451,1.16455,39.8
25.10.2021 00:09:00.000,1.16454,1.16454,1.16442,1.16445,93.65
25.10.2021 00:10:00.000,1.16445,1.16446,1.16441,1.16445,41.98
25.10.2021 00:11:00.000,1.16444,1.16461,1.16444,1.1646,39.58
25.10.2021 00:12:00.000,1.16462,1.1647,1.16462,1.16469,22.6
25.10.2021 00:13:00.000,1.1647,1.16478,1.1647,1.16475,23.75
25.10.2021 00:14:00.000,1.16474,1.16474,1.16457,1.16457,23.62
25.10.2021 00:15:00.000,1.16458,1.1646,1.16451,1.16456,50.83
25.10.2021 00:16:00.000,1.16454,1.16458,1.16441,1.1645,46.56
25.10.2021 00:17:00.000,1.16449,1.16449,1.16445,1.16445,18.09
25.10.2021 00:18:00.000,1.16444,1.16448,1.16444,1.16445,14.84
25.10.2021 00:19:00.000,1.16443,1.16457,1.16441,1.16453,98.11
25.10.2021 00:20:00.000,1.16454,1.16456,1.16453,1.16453,21.83
25.10.2021 00:21:00.000,1.16452,1.16452,1.16432,1.16432,65.43
25.10.2021 00:22:00.000,1.16432,1.16437,1.16432,1.16437,48.25
25.10.2021 00:23:00.000,1.16438,1.16447,1.16438,1.16447,21.9
25.10.2021 00:24:00.000,1.16447,1.16448,1.16447,1.16448,12.47
25.10.2021 00:25:00.000,1.16447,1.16448,1.16446,1.16446,42.02
25.10.2021 00:26:00.000,1.16446,1.16448,1.16445,1.16446,22.08
25.10.2021 00:27:00.000,1.16445,1.16445,1.16445,1.16445,1.5
25.10.2021 00:28:00.000,1.16445,1.16447,1.16441,1.16445,18.83
25.10.2021 00:29:00.000,1.16445,1.16445,1.16436,1.16438,16.01
25.10.2021 00:30:00.000,1.16438,1.16439,1.16436,1.16436,9.88
25.10.2021 00:31:00.000,1.16437,1.16443,1.16428,1.16428,31.83
25.10.2021 00:32:00.000,1.16431,1.16432,1.16429,1.16429,13.32
25.10.2021 00:33:00.000,1.1643,1.1643,1.16425,1.16426,22.14
25.10.2021 00:34:00.000,1.16425,1.16436,1.16422,1.16436,32.04
